type,title,country,date_added,release_year,rating,duration,listed_in,description,target_ages
Movie,House Party,United States,"September 1, 2021",1990,R,104 min,"Comedies, Cult Movies",ground strict father kid risk life limb go best friend play big bash experi one obstacl anoth,Adults
Movie,House Party 2,United States,"September 1, 2021",1991,R,94 min,"Comedies, Cult Movies, Music & Musicals",kid goe colleg scholarship money play lose kid tuition fund shadi music promot devis wild plan rais cash,Adults
Movie,House Party 3,United States,"September 1, 2021",1994,R,94 min,"Comedies, Music & Musicals",kid get engag play plan throw biggest bachelor parti ever everi celebr two alway come complic,Adults
TV Show,How to Be a Cowboy,United States,"September 1, 2021",2021,TV-PG,1 Season,Reality TV,dale brisbi use social media savvi rodeo skill keep cowboy tradit aliv he teach world cowboy right ol son,Older Kids
TV Show,HQ Barbers,United States,"September 1, 2021",2020,TV-14,1 Season,TV Shows,famili run barber shop heart lago threaten real estat develop theyll whatev take stay busi,Teens
Movie,I Got the Hook Up,United States,"September 1, 2021",1998,R,93 min,"Action & Adventure, Comedies",get hand misdirect shipment cell phone two hustler tri cash hawk merchandis back van,Adults
Movie,In Too Deep,United States,"September 1, 2021",1999,R,97 min,Thrillers,rooki cop jeffrey cole pose drug dealer take crime lord soon get caught underworld briberi intimid murder,Adults
Movie,Initial D,"China, Hong Kong","September 1, 2021",2005,TV-14,109 min,"Action & Adventure, International Movies",day 18yearold deliv tofu father retir race car driver night teen turn take wheel,Teens
Movie,Janoskians: Untold and Untrue,United States,"September 1, 2021",2016,TV-MA,88 min,Comedies,follow stori three australian brother two friend becam intern sensat post prank gag youtub,Adults
TV Show,Kid-E-Cats,Russia,"September 1, 2021",2016,TV-Y,2 Seasons,Kids' TV,cooki pud candi kitten sibl whose favorit thing sweet treat let curios lead adventur learn,Kids
TV Show,Kuroko's Basketball,Japan,"September 1, 2021",2015,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows",five middl school basketbal star went separ high school tetsuya kuroko seirin high make play glori,Adults
Movie,Labyrinth,"United Kingdom, United States","September 1, 2021",1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies",jim henson fantasi teen sarah embark lifealt quest rescu littl brother clutch treacher goblin,Older Kids
Movie,Letters to Juliet,United States,"September 1, 2021",2010,PG,105 min,"Comedies, Dramas, Romantic Movies",respond letter address shakespear tragic heroin juliet capulet american woman verona itali led search romanc,Older Kids
Movie,Level 16,Canada,"September 1, 2021",2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers",bleak academi teach girl virtu passiv two student uncov ghastli purpos behind train resolv escap,Teens
Movie,Love Don't Cost a Thing,United States,"September 1, 2021",2003,PG-13,101 min,"Comedies, Romantic Movies",nerdi teen tri make cool associ convinc popular cheerlead pose girlfriend,Teens
Movie,Love in a Puff,Hong Kong,"September 1, 2021",2010,TV-MA,103 min,"Comedies, Dramas, International Movies",hong kong govern enact ban smoke cigarett indoor new law drive hardcor smoker outsid facilit unlik connect,Adults
TV Show,Major Dad,United States,"September 1, 2021",1992,TV-PG,4 Seasons,TV Comedies,marri journalist becom stepdad daughter us marin find onceorderli life longer entir command,Older Kids
Movie,Mars Attacks!,United States,"September 1, 2021",1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy",fli saucer head earth presid unit state prepar welcom alien visitor soon learn theyr come peac,Teens
Movie,Marshall,"United States, China, Hong Kong","September 1, 2021",2017,PG-13,118 min,Dramas,biopic thurgood marshal first black us suprem court justic center pivot work sensat case naacp lawyer,Teens
Movie,My Boss's Daughter,United States,"September 1, 2021",2003,R,86 min,"Comedies, Romantic Movies",young man housesit mean boss hope use opportun win heart bosss daughter he long crush,Adults
Movie,Mystery Men,United States,"September 1, 2021",1999,PG-13,121 min,"Action & Adventure, Comedies",team farfromsup hero tri earn respect spring action brave dash captain amaz disappear,Teens
TV Show,Oldsters,United States,"September 1, 2021",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",three friend 70 step retir becom band outlaw whose mission help let justic system,Adults
Movie,Once Upon a Time in America,"Italy, United States","September 1, 2021",1984,R,229 min,"Classic Movies, Dramas",director sergio leon sprawl crime epic follow group jewish mobster rise rank organ crime 1920 new york citi,Adults
Movie,Open Season 2,"United States, Canada","September 1, 2021",2008,PG,76 min,"Children & Family Movies, Comedies",elliot buck forestdwel cohort must rescu dachshund pal spoil pet bent return domest,Older Kids
Movie,Osmosis Jones,United States,"September 1, 2021",2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",peter bobbi farrelli outdo partial anim tale outofshap 40yearold man who host variou organ,Older Kids
Movie,Poseidon,United States,"September 1, 2021",2006,PG-13,98 min,"Action & Adventure, Dramas",tidal wave spell disast ship new year eve revel capsiz mammoth vessel send passeng battl surviv,Teens
Movie,Rhyme & Reason,United States,"September 1, 2021",1997,R,89 min,"Documentaries, Music & Musicals",world cultur rap song topic race violenc polic famili sex examin hiphop perform coast,Adults
Movie,Same Kind of Different as Me,United States,"September 1, 2021",2017,PG-13,120 min,"Dramas, Faith & Spirituality",wealthi coupl whose marriag rock befriend local homeless man chang perspect inspir true stori,Teens
Movie,School of Rock,"United States, Germany","September 1, 2021",2003,PG-13,110 min,"Comedies, Music & Musicals",musician dewey finn get job fourthgrad substitut teacher secretli begin teach student finer point rock n roll,Teens
Movie,Snervous Tyler Oakley,United States,"September 1, 2021",2015,PG-13,83 min,"Documentaries, LGBTQ Movies",inspir internet star lgbt advoc share intim view life relationship intern slumber parti tour,Teens
Movie,Tears of the Sun,United States,"September 1, 2021",2003,R,121 min,"Action & Adventure, Dramas",navi seal sent wartorn african jungl rescu doctor realiz must also save refuge physician care,Adults
Movie,The Blue Lagoon,United States,"September 1, 2021",1980,R,105 min,"Dramas, Romantic Movies",two shipwreck children strand year desert island fall love teenag attempt forg life isol paradis,Adults
Movie,The Golden Child,United States,"September 1, 2021",1986,PG-13,94 min,"Action & Adventure, Comedies",fasttalk la social worker goe seri trap terror find kidnap tibetan child mystic power,Teens
Movie,The Guns of Navarone,"United Kingdom, United States","September 1, 2021",1961,TV-14,156 min,"Action & Adventure, Classic Movies",world war ii british forc launch attack design take massiv nazi cannon guard critic sea channel,Teens
Movie,The Interview,United States,"September 1, 2021",2014,R,112 min,"Action & Adventure, Comedies",seth rogen jame franco star provoc comedi two journalist recruit cia arrang interview kim jongun,Adults
Movie,The Nutty Professor,United States,"September 1, 2021",1996,PG-13,95 min,"Comedies, Romantic Movies",made fun weight kind braini professor take dose revolutionari formula chang appear,Teens
Movie,The Nutty Professor II: The Klumps,United States,"September 1, 2021",2000,PG-13,107 min,"Comedies, Romantic Movies",get engag sherman klump prepar big day sinist alter ego buddi love threaten ruin wed reput,Teens
TV Show,Turning Point: 9/11 and the War on Terror,United States,"September 1, 2021",2021,TV-14,1 Season,Docuseries,unflinch seri document 911 terrorist attack al qaeda root 1980 america respons home abroad,Teens
Movie,Welcome Home Roscoe Jenkins,United States,"September 1, 2021",2008,PG-13,114 min,Comedies,rj travel georgia parent 50th anniversari pompous flaunt hollywood lifestyl must examin he becom,Teens
Movie,In the Line of Fire,United States,"August 31, 2021",1993,R,129 min,"Action & Adventure, Classic Movies",twist yet ingeni killer torment veteran secret servic agent who haunt failur year ago save presid john f kennedi,Adults
TV Show,Sparking Joy,United States,"August 31, 2021",2021,TV-PG,1 Season,Reality TV,realiti seri mari kondo bring joy tidi tactic peopl struggl balanc work home life share world,Older Kids
Movie,Untold: Crime & Penalties,United States,"August 31, 2021",2021,TV-MA,86 min,"Documentaries, Sports Movies",bad boy hockey team bought man mob tie run 17yearold son rep violent good,Adults
TV Show,Hometown Cha-Cha-Cha,United States,"August 29, 2021",2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",bigciti dentist open practic closeknit seasid villag home charm jackofalltrad polar opposit everi way,Teens
TV Show,The Ingenuity of the Househusband,United States,"August 29, 2021",2021,TV-G,1 Season,"International TV Shows, TV Comedies",tough guy knack housework tackl household task meticul care comed liveact vignett,Kids
Movie,2 Alone in Paris,France,"August 28, 2021",2008,TV-MA,97 min,"Comedies, International Movies",bumbl pari policeman doggedli determin captur master thief repeatedli elud even theyr last two men earth,Adults
TV Show,Bread Barbershop,United States,"August 28, 2021",2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies",town fill food bread master cake decor give lifechang makeov put custom amaz mood,Kids
Movie,Thimmarusu,India,"August 28, 2021",2021,TV-14,125 min,"Dramas, International Movies",eight year young man frame murder upandcom lawyer reopen case begin tricki mission find real culprit,Teens
Movie,Wind River,"United Kingdom, Canada, United States","August 28, 2021",2017,R,107 min,"Dramas, Independent Movies",tracker us fish wildlif servic assist rooki fbi agent who investig teen girl murder remot wyom reserv,Adults
Movie,C Kkompany,India,"August 27, 2021",2008,TV-14,127 min,"Action & Adventure, Comedies, International Movies",three broke friend pose underworld gang extort plan take life phoni compani becom famou,Teens
TV Show,D.P.,", South Korea","August 27, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Dramas",young privat assign captur armi desert reveal pain realiti endur enliste compulsori call duti,Adults
TV Show,Deadly Sins,United States,"August 27, 2021",2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",multimillionair fake death forc rel live togeth mansion one year see who worthi inherit fortun,Adults
Movie,EMI: Liya Hai To Chukana Padega,India,"August 27, 2021",2008,TV-14,128 min,"Comedies, Dramas, International Movies",bank hire enigmat unorthodox debt collector recov money four borrow unabl pay loan,Teens
Movie,He's All That,United States,"August 27, 2021",2021,TV-14,92 min,"Comedies, Romantic Movies",influenc special makeov bet transform unpopular classmat prom king remak teen classic she,Teens
TV Show,I Heart Arlo,United States,"August 27, 2021",2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",whole new world arlo oneofa kind pal set restor rundown new york citi neighborhood make,Older Kids
TV Show,King of Boys: The Return of the King,Nigeria,"August 27, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",alhaja eniola salami start anew set sight differ posit power fuel reveng regret ruthless,Adults
Movie,Koi Aap Sa,India,"August 27, 2021",2006,TV-14,135 min,"Comedies, Dramas, International Movies",star athlet rohan eye beauti art student best friend simran experi crisi drop everyth help,Teens
Movie,Krishna Cottage,India,"August 27, 2021",2004,TV-14,124 min,"Action & Adventure, Horror Movies, International Movies",true love put test anoth woman come pair starcross young lover thriller,Teens
Movie,Kucch To Hai,India,"August 27, 2021",2003,TV-14,136 min,"Dramas, International Movies, Thrillers",student tri steal test teacher home leav dead accid string murder may professor reveng,Teens
Movie,Kyaa Kool Hai Hum,India,"August 27, 2021",2005,TV-MA,165 min,"Comedies, International Movies, Music & Musicals",longtim friend rahul karan head mumbai intent make dream come true men suddenli saddl bad luck,Adults
Movie,Kyaa Kool Hain Hum 3,India,"August 27, 2021",2016,TV-MA,124 min,"Comedies, International Movies",unlik porn actor fall woman outsid industri employ costar standin tradit famili impress father,Adults
Movie,Kyaa Super Kool Hain Hum,India,"August 27, 2021",2012,TV-MA,136 min,"Comedies, International Movies",aspir actor struggl dj team pursu ladi love diamond right belong oversex dog,Adults
Movie,Kyo Kii... Main Jhuth Nahin Bolta,India,"August 27, 2021",2001,TV-14,150 min,"Comedies, International Movies, Sci-Fi & Fantasy",life career lawyer thrown chao son wish magic render incap tell lie,Teens
Movie,"LSD: Love, Sex Aur Dhokha",India,"August 27, 2021",2010,TV-MA,112 min,"Dramas, Independent Movies, International Movies",provoc drama examin voyeurist natur modern societi affect three unusu coupl northern india,Adults
